time_ms, raw_ax, raw_ay, raw_az, filt_ax, filt_ay, filt_az
20156, -0.13, 0.01, -1.07, -0.28, 0.01, -1.08
20203, -0.05, 0.08, -0.92, -0.23, 0.02, -1.05
20250, 0.09, 0.08, -0.99, -0.17, 0.04, -1.03
20302, 0.14, 0.11, -0.89, -0.11, 0.05, -1.00
20349, 0.51, 0.11, -1.07, 0.02, 0.06, -1.02
20396, 0.62, 0.09, -1.26, 0.14, 0.07, -1.07
20443, 0.46, 0.13, -1.09, 0.20, 0.08, -1.07
20490, 0.32, -0.00, -1.05, 0.23, 0.06, -1.07
20537, 0.07, 0.01, -0.93, 0.19, 0.05, -1.04
20584, -0.08, -0.00, -0.89, 0.14, 0.04, -1.01
20631, -0.13, -0.04, -1.14, 0.09, 0.03, -1.03
20678, -0.22, -0.08, -1.03, 0.02, 0.01, -1.03
20725, -0.53, -0.03, -1.11, -0.09, -0.00, -1.05
20772, -0.51, -0.08, -1.13, -0.17, -0.02, -1.06
